date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2024-05-01,4.006032972221085,117.57697763386012,3.3047118932727937,119.9566571631042,3.4393478879861217,121.86038529197238,3.5219482862297147,120.41140347195996,9.587355091183936,135.3428061473936,7.579011002855873,130.79827926521187,2.5431094060353265,138.1045105483692,8.3016383465774,134.15932866254067,5.932304391871757,133.53183711283415,29.674176613596067,29.085505402639157,28.631125624955985,28.97566093740016,0.13770428025117187,0.8175249924156747,0.6863015456418875,0.6059637163890352,34.89,3.22,3.1950000000000003,0.050000000000000266,69.1,70.77499999999999,10.099999999999994
2024-06-01,4.093510004042034,118.07595317581992,3.0733537752031026,120.07572636332173,3.2099564455040586,121.91421227333186,3.0586740351360886,120.25962762460307,9.20205555674125,135.9163494647566,7.107902735109595,131.1173650706499,2.229355104034081,138.0794145584983,8.136770997019816,135.03119745734807,5.453075018821285,133.86026558052967,29.650406419221262,29.156600638889937,28.716914416432044,29.112014307316503,-0.16853444892721559,0.8195355777662172,0.6860967289115782,0.833896373592613,35.01,3.22,3.2075000000000005,0.050000000000000266,68.2,71.10833333333333,4.0
2024-07-01,3.8573443837065735,118.14436977920421,3.1551633936440338,121.0422881062641,3.157203742066561,121.97623031707212,3.135907291950657,120.3876229244478,8.833233145033038,136.73837139844508,6.703992284493099,131.62394784847706,1.8194936633228131,138.2640926070594,7.03766161256838,135.18435306580542,4.922262890398188,134.22374867501856,29.692485613626577,28.981606799437696,28.7597017130395,29.139208124422648,-0.21535924483383484,0.46387847370017443,0.461891396612657,0.48263569134816553,35.08,3.2,3.2150000000000003,0.03000000000000025,66.4,70.68333333333332,-5.099999999999994
2024-08-01,3.5109637380977166,118.41588698006962,3.439639868120725,120.98955157467988,2.6423050816333893,122.09324549394056,2.633085118433698,120.40475890721392,8.173599419695998,137.37018455312483,7.137711570690364,132.62566066053213,1.539118079868751,138.43991377802107,5.7000544302654665,135.3398930235105,4.305133753141277,134.58472786759364,29.742630738329748,29.109951678976778,28.84680463486242,29.251335511697814,0.39947242305107267,0.4687000317897372,1.2491500560248392,1.2582456944969733,35.22,3.2,3.21,-0.020000000000000018,67.9,70.55833333333334,-1.5
2024-09-01,3.609232440938981,118.85898299256372,3.2946268341602414,120.94505512615568,2.1896259892691727,121.9824711265051,2.4764361190020567,120.60444556352903,7.744539148047358,138.26677434382597,6.910252857604338,133.43772312507812,1.0670363953950046,138.68416612995907,4.625262383575501,135.24186830814085,3.9210584641476975,135.01289509485613,29.73271275778206,29.219880021665595,28.971375701472496,29.302402440368148,0.29088342525123156,0.5963404969441477,1.684112765077761,1.3995201828371329,35.34,3.2,3.205,-0.020000000000000018,70.1,70.75,2.299999999999997
2024-10-01,3.7594008454902683,118.95283194589715,2.9688929551692667,120.55941923894594,2.497923302831495,122.24653537563822,2.4110371527138685,120.6327723921832,7.5338431041855,139.02642621717013,6.234591836268688,133.73565253732605,0.907224917206717,139.08927093952107,3.9856372168537435,135.42739116960155,3.5982085569179034,135.43563720130535,29.810135177049116,29.412882231722694,29.006957040572797,29.394997144488865,0.2793914833696176,1.049251660838002,1.5135647843643074,1.5996895134370304,35.46,3.08,3.1700000000000004,-0.14000000000000012,70.5,71.30833333333334,6.700000000000003
2024-11-01,3.911966677924128,119.02984539996847,2.928016937191247,120.1807874223372,2.418384430260545,122.17164566244243,2.6791089704996995,120.48029711695834,7.569685824346695,139.7558296213304,6.235570879939489,134.3201508629516,1.0243919974095794,139.39650881539717,3.8364508883110826,136.02692511090598,3.769380153449431,136.0244714680377,29.90846529320069,29.62203923235676,29.1393308217866,29.548399905953655,0.26271361799705684,1.2211841492014264,1.7248594035946363,1.466557910089139,35.6,3.08,3.14,-0.1200000000000001,71.8,72.18333333333334,10.5
2024-12-01,3.8628781347227914,119.09862020546473,3.1091431053295038,120.30603668484979,2.280936301797465,122.04877972673054,2.7163085879251314,120.44707429322814,7.619724277094053,140.40756570279075,6.59306350068849,135.69374681758154,1.6293102980082796,139.84752391159282,3.428516094981182,136.14552287951193,4.036512509091605,136.69635181491157,29.96676194772775,29.666009273909083,29.242406257490295,29.631271834061135,0.2117646359199421,0.944319626569512,1.7617033474806476,1.3303772412790016,35.69,3.08,3.11,-0.1200000000000001,74.0,72.54166666666667,4.299999999999997
2025-01-01,3.866903409531064,120.0664823119797,3.6466107184094154,121.30679477249129,2.6284228159484835,122.82810080467436,2.8537949242794847,121.25106662749872,8.209350299592511,141.54784023356538,7.485943612680335,137.1718154272999,1.322202761633351,139.8600312311182,3.9917031403668313,137.05246378249177,4.171270980631792,137.29770559121297,29.85012912002674,29.544923734253533,29.17899060980683,29.55850286258166,0.10356248337339835,0.3163247050946616,1.3115740271781418,1.0895812163766783,35.84,3.06,3.075,-0.14000000000000012,71.7,71.93333333333332,-7.299999999999997
2025-02-01,4.10244695989852,120.80115484360894,3.2677886902263698,121.64628619456484,2.1688708562420445,123.36364026414226,2.854320550813094,121.9854658889029,7.968952174105026,142.686110852581,6.87948739573625,137.78517360365242,0.8769674585000997,139.52243337147993,4.4113849155390294,138.00687643419784,3.963294417508645,137.53641090699674,29.751371207111788,29.544675077475404,29.13338154017377,29.462526324842678,0.010672561961055926,0.8190053050946888,1.9034041244789135,1.2242916004856497,35.94,3.06,3.0700000000000003,-0.020000000000000018,64.7,70.91666666666667,-12.200000000000003
