date,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national
2025-06-01,7.22622145602263,145.73796587202153,5.988553363477589,138.9693984466915,-0.9725337294190672,136.7365456785325,0.008622773818034446,135.0428408920886,1.9335087478644652,136.4484655254438
2025-07-01,6.496954253109721,145.62220083464933,6.02144696786282,139.54961406518055,-1.2366096361336787,136.55430551456772,0.11916339147530763,135.3454433256626,1.6422342095854026,136.42801699314765
2025-08-01,6.06543156671886,145.70227909027003,5.806735588449463,140.32688209752348,-1.1797214580925641,136.80670840861694,0.0017821305058562942,135.34230495703068,1.4821705426356413,136.57950305893348
2025-09-01,5.3864488899637575,145.71444347565767,5.3798917165664095,140.616528138259,-1.3165266075948256,136.85835218233711,0.3509377316063045,135.7164830529634,1.308395615808311,136.77939789505314
2025-10-01,5.130726831321986,146.15949236972256,5.686762145606017,141.34088100099788,-1.4739512873927274,137.03916283988283,0.08697951534364368,135.54518525808342,1.3224912876418582,137.22676170365486
2025-11-01,5.332199045023112,147.20788863376316,5.591205736970406,141.83026684390825,-1.423607939988203,137.4120490478348,0.48352352614347005,136.68464729570678,1.288234391777876,137.77678549072303
2025-12-01,5.4756596047699,148.09580606001924,5.298101469368999,142.88293921156568,-1.551516763309957,137.67776613503057,0.7999824527024746,137.23466317268802,1.142996702894128,138.25878660913256
2026-01-01,5.087911066814521,148.74966846164588,4.639795018740411,143.53630648661158,-1.4906947195338027,137.77514513081758,0.21133405472097966,137.34210231129833,0.8662587651709241,138.48705900027542
2026-02-01,4.784342386413343,149.51270293362577,5.024829908067341,144.70864421577124,-1.752056769285748,137.07792113292274,-0.853770642470908,136.82861423861158,0.7358005661871614,138.5484045971639
2026-03-01,4.009986576870395,149.83388875228889,6.066774769189043,146.4379126655207,-1.7003674674284652,136.35936004810333,-1.6045394475628028,135.96613460590612,0.6645840803700009,138.24251124669274
